Vulnerability ID,Severity,Package name,Package version,Package type,Package path,Image,OS Name,CVSS version,CVSS score,CVSS vector,Vuln link,Vuln Publish date,Vuln Fix date,Fix version,Public Exploit,K8S cluster name,K8S namespace name,K8S workload type,K8S workload name,K8S container name,Image ID,K8S POD count,Package suggested fix
CVE-2018-19211,Low,ncurses-libs,6.1,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,4.7,AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2018-19211,2018-04-12,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2018-19217,Low,ncurses-base,6.1,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,4.7,AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2018-19217,2018-10-28,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2018-19217,Low,ncurses-libs,6.1,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,4.7,AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2018-19217,2018-10-28,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-24032,Low,libzstd,1.4.4,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,https://access.redhat.com/security/cve/CVE-2021-24032,2019-06-04,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-3997,Low,systemd-libs,239,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2021-3997,2022-01-10,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,0:239-58.el8_6.4
CVE-2021-3997,Low,systemd-pam,239,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2021-3997,2022-01-10,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,0:239-58.el8_6.4
CVE-2022-27943,Low,libgcc,8.5.0,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2022-27943,2022-03-23,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2018-20657,Low,libgcc,8.5.0,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,3.3,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,https://access.redhat.com/security/cve/CVE-2018-20657,2018-12-18,,,true,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2020-1751,High,libc-bin,2.28-10,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2020-1751,2020-02-01,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,2.28-10+deb10u2
CVE-2020-1751,High,libc6,2.28-10,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2020-1751,2020-02-01,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,2.28-10+deb10u2
CVE-2019-15847,High,gcc-8-base,8.3.0-6,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,https://nvd.nist.gov/vuln/detail/CVE-2019-15847,2019-08-18,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-15847,High,libgcc1,1:8.3.0-6,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,https://nvd.nist.gov/vuln/detail/CVE-2019-15847,2019-08-18,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-15847,High,libstdc++6,8.3.0-6,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,https://nvd.nist.gov/vuln/detail/CVE-2019-15847,2019-08-18,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-33560,High,libgcrypt20,1.8.4-5+deb10u1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,https://nvd.nist.gov/vuln/detail/CVE-2021-33560,2021-04-13,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-12290,High,libidn2-0,2.0.5-1+deb10u1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,https://nvd.nist.gov/vuln/detail/CVE-2019-12290,2019-04-09,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-3843,High,libsystemd0,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2019-3843,2019-04-25,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-3843,High,libudev1,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2019-3843,2019-04-25,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-3844,High,libsystemd0,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2019-3844,2019-04-26,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-3844,High,libudev1,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2019-3844,2019-04-26,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2020-16156,High,perl-base,5.28.1-6+deb10u1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2020-16156,2021-11-23,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2018-12886,High,gcc-8-base,8.3.0-6,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.0,8.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2018-12886,2018-04-27,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2018-12886,High,libgcc1,1:8.3.0-6,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.0,8.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2018-12886,2018-04-27,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2018-12886,High,libstdc++6,8.3.0-6,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.0,8.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,https://nvd.nist.gov/vuln/detail/CVE-2018-12886,2018-04-27,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2022-2097,Medium,libssl1.1,1.1.1d-0+deb10u7,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,https://nvd.nist.gov/vuln/detail/CVE-2022-2097,2022-07-05,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,1.1.1n-0+deb10u2
CVE-2020-14155,Medium,libpcre3,2:8.39-12,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,https://nvd.nist.gov/vuln/detail/CVE-2020-14155,2020-02-10,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-3997,Medium,libsystemd0,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,https://nvd.nist.gov/vuln/detail/CVE-2021-3997,2022-01-10,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-3997,Medium,libudev1,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,https://nvd.nist.gov/vuln/detail/CVE-2021-3997,2022-01-10,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-13627,Medium,libgcrypt20,1.8.4-5+deb10u1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,6.3,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:N,https://nvd.nist.gov/vuln/detail/CVE-2019-13627,2019-08-07,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-36085,Low,libsepol1,2.8-1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,https://nvd.nist.gov/vuln/detail/CVE-2021-36085,2021-04-19,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-36086,Low,libsepol1,2.8-1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,https://nvd.nist.gov/vuln/detail/CVE-2021-36086,2021-04-19,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-36087,Low,libsepol1,2.8-1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,https://nvd.nist.gov/vuln/detail/CVE-2021-36087,2021-04-21,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-36084,Low,libsepol1,2.8-1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,3.3,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,https://nvd.nist.gov/vuln/detail/CVE-2021-36084,2021-04-19,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2018-7169,Low,login,1:4.5-1.1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.0,5.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,https://security-tracker.debian.org/tracker/CVE-2018-7169,2017-11-01,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2018-7169,Low,passwd,1:4.5-1.1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.0,5.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,https://security-tracker.debian.org/tracker/CVE-2018-7169,2017-11-01,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2021-37600,Low,bsdutils,1:2.33.1-0.1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,https://security-tracker.debian.org/tracker/CVE-2021-37600,2021-07-27,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2016-2781,Low,coreutils,8.30-3,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.0,6.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:H/A:N,https://security-tracker.debian.org/tracker/CVE-2016-2781,2016-02-28,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-14855,Low,gpgv,2.2.12-1+deb10u1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,https://security-tracker.debian.org/tracker/CVE-2019-14855,2019-10-03,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,2.2.12-1+deb10u2
CVE-2019-17543,Low,liblz4-1,1.8.3-1+deb10u1,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,8.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,https://security-tracker.debian.org/tracker/CVE-2019-17543,2019-07-17,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-20386,Negligible,libsystemd0,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,2.4,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,https://security-tracker.debian.org/tracker/CVE-2019-20386,2019-05-22,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2019-20386,Negligible,libudev1,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,2.4,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,https://security-tracker.debian.org/tracker/CVE-2019-20386,2019-05-22,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2013-4392,Negligible,libsystemd0,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,2.0,3.3,AV:L/AC:M/Au:N/C:P/I:P/A:N,https://security-tracker.debian.org/tracker/CVE-2013-4392,2012-09-20,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2013-4392,Negligible,libudev1,241-7~deb10u8,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,2.0,3.3,AV:L/AC:M/Au:N/C:P/I:P/A:N,https://security-tracker.debian.org/tracker/CVE-2013-4392,2012-09-20,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2011-3374,Negligible,apt,1.8.2.3,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,3.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,https://security-tracker.debian.org/tracker/CVE-2011-3374,2011-09-22,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2011-3374,Negligible,libapt-pkg5.0,1.8.2.3,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,3.1,3.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,https://security-tracker.debian.org/tracker/CVE-2011-3374,2011-09-22,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,
CVE-2010-0928,Negligible,libssl1.1,1.1.1d-0+deb10u7,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,2.0,4,AV:L/AC:H/Au:N/C:C/I:N/A:N,https://security-tracker.debian.org/tracker/CVE-2010-0928,2010-03-05,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,1.1.1n-0+deb10u2
CVE-2010-4756,Negligible,libc-bin,2.28-10,os,,k8s.gcr.io/kube-proxy:v1.22.15,debian 10.10,2.0,4,AV:N/AC:L/Au:S/C:N/I:N/A:P,https://security-tracker.debian.org/tracker/CVE-2010-4756,2010-10-07,,,false,containerd-lab,kube-system,daemonset,kube-proxy,kube-proxy,sha256:8f9e316d565da28bfd96f7e409ca76bcbd7827d33e2ec309835cd2c78351eef2,6,2.28-10+deb10u2
